barcode,name,location
840276070709.0,7600-40-Blush Pink-XS,A06-100
840276058851.0,7600-40-Blush Pink-S,A06-101
840276058868.0,7600-40-Blush Pink-M,A06-102
840276058875.0,7600-40-Blush Pink-L,A06-103
840276070785.0,7600-40-Grey-XS,A06-104
840276058912.0,7600-40-Grey-S,A06-105
840276058929.0,7600-40-Grey-M,A06-200
840276058936.0,7600-40-Grey-L,A06-201
840276058943.0,7600-40-Grey-XL,A06-202
840276070884.0,7600-70-Blush Pink-XS,A06-203
840276070891.0,7600-70-Blush Pink-S,A06-204
840276070907.0,7600-70-Blush Pink-M,A06-205
840276070914.0,7600-70-Blush Pink-L,A06-300
840276070921.0,7600-70-Blush Pink-XL,A06-301
840276070938.0,7600-70-Blush Pink-2X-3X,A06-302
840276070945.0,7600-70-Coco-XS,A06-303
840276070952.0,7600-70-Coco-S,A06-304
840276070969.0,7600-70-Coco-M,A06-305
,8900-6-Coco-S,A06-500
,2300-3-Heather Glacier Blue-XS,A06-501
,2300-1-Heather Grey-S,A06-502
,4900-Cloud-OSFM,A06-503
,33620-8-Spring Lake-M,A06-504
,33620-8-Spring Lake-L,A06-505
840276070976.0,7600-70-Coco-L,A07-100
840276070983.0,7600-70-Coco-XL,A07-101
840276071003.0,7600-70-Fig-XS,A07-102
840276071010.0,7600-70-Fig-S,A07-103
840276071027.0,7600-70-Fig-M,A07-104
840276071065.0,7600-70-Grey-XS,A07-105
840276071072.0,7600-70-Grey-S,A07-200
840276071089.0,7600-70-Grey-M,A07-201
840276071096.0,7600-70-Grey-L,A07-202
840276071102.0,7600-70-Grey-XL,A07-203
840276070792.0,7600-80-Blush Pink-XS,A07-204
840276051685.0,7600-80-Blush Pink-S,A07-205
840276059001.0,7600-80-Coco-S,A07-300
840276070877.0,7600-80-Grey-XS,A07-301
840276051739.0,7600-80-Grey-S,A07-302
840276051746.0,7600-80-Grey-M,A07-303
840276056468.0,1414-4-Black-S,A07-304
840276056475.0,1414-4-Black-M,A07-305
840276056499.0,1414-4-Black-XL,A07-400
840276056505.0,1414-4-Black-2X-3X,A07-401
840276056611.0,1414-4-Heather Grey-S,A07-402
840276056628.0,1414-4-Heather Grey-M,A07-403
840276056635.0,1414-4-Heather Grey-L,A07-404
840276056642.0,1414-4-Heather Grey-XL,A07-405
840276071225.0,9000-9-Grey-S-M,A07-500
840276068058.0,1490-0-Midnight-M,A07-501
840276056376.0,1414-9-Heather Grey-XL,A07-502
840276063336.0,6800-2-Midnight-XS,A07-503
840276068218.0,1490-8-Midnight-L,A07-505
840276056659.0,1414-4-Heather Grey-2X-3X,A08-100
840276062117.0,1414-4-Surf-S,A08-101
840276062124.0,1414-4-Surf-M,A08-102
840276062148.0,1414-4-Surf-XL,A08-103
840276062155.0,1414-4-Surf-2X-3X,A08-104
840276055201.0,1414-8-Black-S,A08-105
840276055348.0,1414-8-Black-2X-3X,A08-200
840276055904.0,1414-8-Heather Grey-S,A08-201
840276055966.0,1414-8-Heather Grey-M,A08-202
840276056086.0,1414-8-Heather Grey-XL,A08-203
840276056093.0,1414-8-Heather Grey-2X-3X,A08-204
840276062162.0,1414-8-Surf-S,A08-205
840276062193.0,1414-8-Surf-XL,A08-300
840276062209.0,1414-8-Surf-2X-3X,A08-301
840276056192.0,1414-9-Black-S,A08-302
840276056345.0,1414-9-Heather Grey-S,A08-303
840276056383.0,1414-9-Heather Grey-2X-3X,A08-304
840276062063.0,1414-9-Surf-S,A08-305
840276067945.0,1490-0-Black-S,A08-400
840276067990.0,1490-0-Grey-S,A08-401
840276068003.0,1490-0-Grey-M,A08-402
840276068010.0,1490-0-Grey-L,A08-403
840276068027.0,1490-0-Grey-XL,A08-404
840276068034.0,1490-0-Grey-2X-3X,A08-405
840276062018.0,1414-2-Surf-S,A08-500
840276055843.0,1414-8-Dusty Green-2X-3X,A08-501
840276068928.0,1450-8-Heather Grey-L,A08-502
840276073625.0,2200-4-Copper Rose-XS,A08-503
840276058196.0,2300-0-Coco-M,A08-504
840276070167.0,2300-0-Coco-XS,A08-505
840276067808.0,1490-5-Black-M,A09-100
840276067815.0,1490-5-Black-L,A09-101
840276067822.0,1490-5-Black-XL,A09-102
840276067853.0,1490-5-Grey-M,A09-103
840276067877.0,1490-5-Grey-XL,A09-104
840276067884.0,1490-5-Grey-2X-3X,A09-105
840276068096.0,1490-8-Black-S,A09-200
840276068102.0,1490-8-Black-M,A09-201
840276068119.0,1490-8-Black-L,A09-202
840276068126.0,1490-8-Black-XL,A09-203
840276068140.0,1490-8-Grey-S,A09-204
840276068157.0,1490-8-Grey-M,A09-205
840276068164.0,1490-8-Grey-L,A09-300
840276068171.0,1490-8-Grey-XL,A09-301
840276068188.0,1490-8-Grey-2X-3X,A09-302
840276068195.0,1490-8-Midnight-S,A09-303
840276068201.0,1490-8-Midnight-M,A09-304
840276068225.0,1490-8-Midnight-XL,A09-305
840276064784.0,1900-Almond-OSFM,A09-400
840276064791.0,1900-Black-OSFM,A09-401
840276064807.0,1900-Coco-OSFM,A09-402
840276064814.0,1900-Grey-OSFM,A09-403
840276064821.0,1900-Midnight-OSFM,A09-404
840276059346.0,2200-2-Apricot-S,A09-405
840276046674.0,2300-0-Heather Glacier Blue-2X-3X,A09-500
840276058370.0,2300-2-Blush Pink-2X-3X,A09-501
840276070310.0,2300-2-Blush Pink-XS,A09-502
840276070402.0,2300-2-Midnight-XS,A09-503
840276060595.0,2900-0-Surf-S,A09-504
840276058035.0,33620-8-Coco-S,A09-505
840276059353.0,2200-2-Apricot-M,A10-100
840276059360.0,2200-2-Apricot-L,A10-101
840276059377.0,2200-2-Apricot-XL,A10-102
840276059476.0,2200-2-Heather Grey-XL,A10-103
840276059483.0,2200-2-Heather Grey-2X-3X,A10-104
840276059148.0,2200-4-Apricot-S,A10-105
840276059155.0,2200-4-Apricot-M,A10-200
840276059162.0,2200-4-Apricot-L,A10-201
840276059179.0,2200-4-Apricot-XL,A10-202
840276059186.0,2200-4-Apricot-2X-3X,A10-203
840276071416.0,2200-4-Black-XS,A10-204
840276059193.0,2200-4-Black-S,A10-205
840276059209.0,2200-4-Black-M,A10-300
840276059216.0,2200-4-Black-L,A10-301
840276059223.0,2200-4-Black-XL,A10-302
840276059230.0,2200-4-Black-2X-3X,A10-303
840276073632.0,2200-4-Copper Rose-S,A10-304
840276073649.0,2200-4-Copper Rose-M,A10-305
840276073656.0,2200-4-Copper Rose-L,A10-400
840276073663.0,2200-4-Copper Rose-XL,A10-401
840276071423.0,2200-4-Heather Grey-XS,A10-402
840276059247.0,2200-4-Heather Grey-S,A10-403
840276059254.0,2200-4-Heather Grey-M,A10-404
840276059261.0,2200-4-Heather Grey-L,A10-405
840276041327.0,33620-8-Heather Strawberry-XL,A10-500
840276070259.0,33620-8-Midnight-S,A10-501
840276070129.0,33620-8-Midnight-XL,A10-502
840276065934.0,5200-2-Dusty Green-L,A10-503
840276066016.0,5200-2-Fig-2X-3X,A10-504
840276065989.0,5200-2-Fig-M,A10-505
840276059278.0,2200-4-Heather Grey-XL,A11-100
840276059285.0,2200-4-Heather Grey-2X-3X,A11-101
840276073564.0,2200-4-Indigo White-XS,A11-102
840276073571.0,2200-4-Indigo White-S,A11-103
840276073588.0,2200-4-Indigo White-M,A11-104
840276073595.0,2200-4-Indigo White-L,A11-105
840276073601.0,2200-4-Indigo White-XL,A11-200
840276073618.0,2200-4-Indigo White-2X-3X,A11-201
840276073502.0,2200-4-Indigo-XS,A11-202
840276073519.0,2200-4-Indigo-S,A11-203
840276073526.0,2200-4-Indigo-M,A11-204
840276073533.0,2200-4-Indigo-L,A11-205
840276073540.0,2200-4-Indigo-XL,A11-300
840276059292.0,2200-4-Surf-S,A11-301
840276059308.0,2200-4-Surf-M,A11-302
840276059315.0,2200-4-Surf-L,A11-303
840276059322.0,2200-4-Surf-XL,A11-304
840276059544.0,2200-6-Apricot-S,A11-305
840276059551.0,2200-6-Apricot-M,A11-400
840276059568.0,2200-6-Apricot-L,A11-401
840276059582.0,2200-6-Apricot-2X-3X,A11-402
840276071430.0,2200-6-Black-XS,A11-403
840276059599.0,2200-6-Black-S,A11-404
840276059605.0,2200-6-Black-M,A11-405
840276066139.0,5200-2-Midnight-2X-3X,A11-500
840276065071.0,5200-9-Dusty Green-S,A11-501
840276063589.0,5200-9-Midnight-L,A11-502
840276065248.0,5200-9-Midnight-XS,A11-503
840276062803.0,6800-0-Fig-S,A11-504
840276062933.0,6800-0-Midnight-M,A11-505
840276059612.0,2200-6-Black-L,A12-100
840276059629.0,2200-6-Black-XL,A12-101
840276059636.0,2200-6-Black-2X-3X,A12-102
840276073816.0,2200-6-Copper Rose-S,A12-103
840276073823.0,2200-6-Copper Rose-M,A12-104
840276073830.0,2200-6-Copper Rose-L,A12-105
840276073847.0,2200-6-Copper Rose-XL,A12-200
840276071447.0,2200-6-Heather Grey-XS,A12-201
840276059643.0,2200-6-Heather Grey-S,A12-202
840276059650.0,2200-6-Heather Grey-M,A12-203
840276059667.0,2200-6-Heather Grey-L,A12-204
840276059674.0,2200-6-Heather Grey-XL,A12-205
840276059681.0,2200-6-Heather Grey-2X-3X,A12-300
840276073748.0,2200-6-Indigo White-XS,A12-301
840276073755.0,2200-6-Indigo White-S,A12-302
840276073762.0,2200-6-Indigo White-M,A12-303
840276073779.0,2200-6-Indigo White-L,A12-304
840276073786.0,2200-6-Indigo White-XL,A12-305
840276073793.0,2200-6-Indigo White-2X-3X,A12-400
840276073687.0,2200-6-Indigo-XS,A12-401
840276073694.0,2200-6-Indigo-S,A12-402
840276073700.0,2200-6-Indigo-M,A12-403
840276073717.0,2200-6-Indigo-L,A12-404
840276073724.0,2200-6-Indigo-XL,A12-405
840276063282.0,6800-2-Grey-S,A12-500
840276063343.0,6800-2-Midnight-S,A12-501
840276070822.0,7600-80-Fig-S,A12-502
840276051791.0,7600-80-Stone-M,A12-503
840276068560.0,7620-8-Heather Grey-M,A12-504
840276067716.0,7900-3-Grey-XL,A12-505
840276059735.0,2200-6-Surf-2X-3X,A13-100
840276061349.0,2300-0-Apricot-S,A13-101
840276061356.0,2300-0-Apricot-M,A13-102
840276061363.0,2300-0-Apricot-L,A13-103
840276061370.0,2300-0-Apricot-XL,A13-104
840276061387.0,2300-0-Apricot-2X-3X,A13-105
840276070143.0,2300-0-Black-XS,A13-200
840276061394.0,2300-0-Black-S,A13-201
840276046599.0,2300-0-Black-M,A13-202
840276046605.0,2300-0-Black-L,A13-203
840276046612.0,2300-0-Black-XL,A13-204
840276046629.0,2300-0-Black-2X-3X,A13-205
840276058134.0,2300-0-Blush Pink-S,A13-300
840276058141.0,2300-0-Blush Pink-M,A13-301
840276058158.0,2300-0-Blush Pink-L,A13-302
840276058165.0,2300-0-Blush Pink-XL,A13-303
840276058172.0,2300-0-Blush Pink-2X-3X,A13-304
840276072963.0,2300-0-Copper Rose-XS,A13-305
840276072970.0,2300-0-Copper Rose-S,A13-400
840276072987.0,2300-0-Copper Rose-M,A13-401
840276071294.0,2300-0-Heather Grey-XS,A13-402
840276046681.0,2300-0-Heather Grey-S,A13-403
840276046698.0,2300-0-Heather Grey-M,A13-404
840276046704.0,2300-0-Heather Grey-L,A13-405
,8300-Black-M,A13-500
840276064111.0,8900-6-Black-M,A13-501
840276063503.0,8900-8-Fig-M,A13-502
840276063541.0,8900-8-Grey-XS,A13-503
840276063589.0,8900-8-Midnight-L,A13-504
840276067068.0,9900-3-Fig-2X-3X,A13-505
840276046711.0,2300-0-Heather Grey-XL,A14-100
840276046728.0,2300-0-Heather Grey-2X-3X,A14-101
840276072901.0,2300-0-Indigo White-XS,A14-102
840276072918.0,2300-0-Indigo White-S,A14-103
840276072925.0,2300-0-Indigo White-M,A14-104
840276072932.0,2300-0-Indigo White-L,A14-105
840276072949.0,2300-0-Indigo White-XL,A14-200
